Section	Key	English	Amharic	Oromo	Tigrinya	Somali
common	common.noDescription	No description	ገለጻ የለም	Ibsi hin jiru	መግለጺ የለን	Sharaxaad ma jirto
common	common.saving	Saving...	በማስቀመጥ ላይ...	Olchaa jira...	ይቕመጥ ኣሎ...	Waa la kaydiyaa...
common	common.creating	Creating...	በመፍጠር ላይ...	Uumaa jira...	ይፍጠር ኣሎ...	Waa la samaynayaa...
common	common.deleting	Deleting...	በመሰረዝ ላይ...	Haqaa jira...	ይድምሰስ ኣሎ...	Waa la tirtirayaa...
common	common.updating	Updating...	በማዘመን ላይ...	Haaromsaa jira...	ይሕደስ ኣሎ...	Waa la cusbooneysiinayaa...
common	common.uploading	Uploading...	በመስቀል ላይ...	Olkaa'aa jira...	ይጸዓን ኣሎ...	Waa la soo rarayaa...
common	common.analyzing	Analyzing...	በመተንተን ላይ...	Xiinxalaa jira...	ይተነትን ኣሎ...	Waa la falanqeynayaa...
common	common.processing	Processing...	በማስተናገድ ላይ...	Gaggeessaa jira...	ይስራሕ ኣሎ...	Waa la habeeynayaa...
common	common.approve	Approve	ፍቀድ	Hayyami	ኣጽድቕ	Ansiixi
common	common.reject	Reject	ውድቅ አድርግ	Didi	ንጸግ	Diid
common	common.active	Active	ንቁ	Hojii Irra	ንጡፍ	Firfircoon
common	common.inactive	Inactive	ንቁ ያልሆነ	Hojii Ala	ዘይንጡፍ	Aan firfircoonayn
common	common.pending	Pending	በመጠባበቅ ላይ	Eeggataa	ኣብ ምጽባይ	Waa la sugayaa
common	common.copy	Copy	ቅዳ	Garagalchi	ቅዳሕ	Koobbi
common	common.copied	Copied	ተቀድቷል	Garagalchame	ተቐዲሑ	La koobiyeeyey
common	common.retry	Retry	እንደገና ሞክር	Irra Deebi'i	ዳግማይ ፈትን	Mar kale isku day
common	common.download	Download	አውርድ	Buufadhu	ኣውርድ	Soo dejiso
common	common.upload	Upload	ስቀል	Olkaa'i	ጸዓን	Soo rar
common	common.remove	Remove	አስወግድ	Haqi	ኣልግስ	Ka saar
common	common.add	Add	ጨምር	Dabali	ወስኽ	Ku dar
common	common.new	New	አዲስ	Haaraa	ሓድሽ	Cusub
common	common.view	View	ይመልከቱ	Ilaali	ርአ	Arag
common	common.viewDetails	View Details	ዝርዝር ይመልከቱ	Bal'inaan Ilaali	ዝርዝር ርአ	Faahfaahin arag
common	common.manage	Manage	አስተዳድር	Bulchi	ኣመሓድር	Maamul
common	common.configure	Configure	አዋቅር	Qindeessi	ኣወዳድብ	Habeyn
common	common.enable	Enable	አንቃ	Dandeessisi	ኣብርህ	Daar
common	common.disable	Disable	አቦዝን	Dhaamsi	ኣጥፍእ	Dami
common	common.required	Required	አስፈላጊ	Dirqama	ግዴታ	Loo baahan yahay
common	common.optional	Optional	አማራጭ	Filannoo	ኣማራጺ	Ikhtiyaari
common	common.showing	Showing	በማሳየት ላይ	Mul'isaa jira	ይርአ ኣሎ	Waxaa muuqda
common	common.of	of	ከ	keessaa	ካብ	ka mid ah
common	common.page	Page	ገጽ	Fuula	ገጽ	Bogga
common	common.previous	Previous	ቀዳሚ	Duraanii	ዝሓለፈ	Hore
common	common.results	results	ውጤቶች	bu'aawwan	ውጽኢታት	natiijooyin
common	common.selected	Selected	የተመረጠ	Filatame	ዝተመርጸ	La doortay
common	common.selectAll	Select all	ሁሉንም ምረጥ	Hundaa fili	ኩሉ ምረጽ	Dhammaan dooro
common	common.clearAll	Clear all	ሁሉንም አጽዳ	Hundaa haqi	ኩሉ ኣጽሪ	Dhammaan tirtir
common	common.apply	Apply	ተግብር	Raawwadhu	ኣተግብር	Dabaq
common	common.reset	Reset	ዳግም አስጀምር	Deebi'i	ዳግማይ ጀምር	Dib u bilow
common	common.done	Done	ተጠናቅቋል	Xumurame	ተወዲኡ	La dhammeeyey
common	common.skip	Skip	ዝለል	Irra Darbi	ዝለል	Ka bood
common	common.total	Total	ጠቅላላ	Waliigalaa	ጠቕላላ	Wadarta
common	common.summary	Summary	ማጠቃለያ	Cuunfaa	ጽሟቕ	Soo koobid
common	common.details	Details	ዝርዝር	Bal'ina	ዝርዝር	Faahfaahin
common	common.overview	Overview	አጠቃላይ እይታ	Ilaalcha Waliigalaa	ሓፈሻዊ ትዕዝብቲ	Guud mar
common	common.size	Size	መጠን	Hanga	ዓቐን	Cabbirka
common	common.category	Category	ምድብ	Ramaddii	ክፍሊ	Qaybta
common	common.createdBy	Created By	የተፈጠረው በ	Kan Uume	ዝፈጠሮ	Waxaa sameeyey
common	common.updatedBy	Updated By	የተዘመነው በ	Kan Haaromse	ዝሓደሶ	Waxaa cusbooneysiiyey
common	common.lastUpdated	Last Updated	ለመጨረሻ ጊዜ የተዘመነ	Yeroo Dhiyoo Haaromfame	ናይ መወዳእታ ምሕዳስ	Markii ugu dambeysay la cusbooneysiiyey
common	common.searchPlaceholder	Search...	ፈልግ...	Barbaadi...	ድለ...	Raadi...
common	common.noData	No data available	ዳታ የለም	Daataan hin jiru	ዳታ ኣይተረኽበን	Xog lama hayo
common	common.comingSoon	Coming soon	በቅርቡ ይመጣል	Dhiyootti ni dhufa	ኣብ ቀረባ ይመጽእ	Waa iman doontaa dhowaan
common	common.beta	Beta	Beta	Beta	ቤታ	Beta
common	common.deprecated	Deprecated	ጊዜው ያለፈበት	Yeroon Isaa Darbe	ዘይንጥቀመሉ	Lama isticmaalo
common	common.expandSidebar	Expand sidebar	የጎን አሞሌ ዘርጋ	Cinaa-barruu bal'isi	ጎኒ ኣስፍሕ	Dhinaca ballaarso
common	common.collapseSidebar	Collapse sidebar	የጎን አሞሌ ሰብስብ	Cinaa-barruu dhiphisi	ጎኒ ጸባብ	Dhinaca yaree
common	common.skipToMainContent	Skip to main content	ወደ ዋና ይዘት ዝለል	Gara qabiyyee ijootti utaali	ናብ ቀንዲ ትሕዝቶ ዝለል	U bood qoraalka ugu muhiimsan
common	common.changeLanguage	Change language	ቋንቋ ቀይር	Afaan jijjiiri	ቋንቋ ቀይር	Luuqadda bedel
common	common.noGrouping	No grouping	ምንም ቡድን	Ramaddii malee	ዝኾነ ጉጅለ የለን	Kooxayn la'aan
common	common.listView	List View	ዝርዝር እይታ	Ilaalcha Tarree	ናይ ዝርዝር ትርኢት	Aragtida liiska
common	common.boardView	Board View	ቦርድ እይታ	Ilaalcha Boordii	ናይ ሰሌዳ ትርኢት	Aragtida sambalka
common	common.compactView	Compact View	ጥቅል እይታ	Ilaalcha Dhiphoo	ጽሙቕ ትርኢት	Aragtida kooban
common	common.more	More	ተጨማሪ	Dabalata	ተወሳኺ	Wax badan
common	common.items	items	ዕቃዎች	wantoota	ኣቑሑት	waxyaabo
common	common.createTask	Create task	ተግባር ፍጠር	Hojii uumi	ተግባር ፍጠር	Hawl samee
common	common.whatNeedsDone	What needs to be done?	ምን መሠራት አለበት?	Maaltu hojjetamuu qaba?	እንታይ ክግበር ኣለዎ?	Maxaa loo baahan yahay in la qabto?
common	common.noMatchFilters	No tasks match your current filters.	ከአሁኑ ማጣሪያዎችዎ ጋር የሚዛመድ ተግባር የለም።	Hojiin calaloo keessan waliin wal simu hin jiru.	ምስ ሕጂ ጸሪኻ ዝሰማማዕ ተግባር የለን።	Hawl la helin shaandhayaashaada hadda.
common	common.createFirstTask	Create your first task	የመጀመሪያ ተግባርዎን ይፍጠሩ	Hojii jalqabaa keessan uumaa	ቀዳማይ ተግባርካ ፍጠር	Hawshaada koowaad samee
nav	nav.home	Home	መነሻ	Fuula Jalqabaa	መበገሲ	Bogga hore
nav	nav.projects	Projects	ፕሮጀክቶች	Pirojektota	ፕሮጀክትታት	Mashruucyo
nav	nav.allProjects	All Projects	ሁሉም ፕሮጀክቶች	Pirojektota Hundaa	ኩሎም ፕሮጀክትታት	Dhammaan mashruucyada
nav	nav.issues	Issues	ጉዳዮች	Dhimmoota	ጉዳያት	Arrimaha
nav	nav.goals	Goals	ግቦች	Galmoota	ዕላማታት	Hadafyada
nav	nav.teams	Teams	ቡድኖች	Gareelee	ጋንታታት	Kooxaha
nav	nav.budget	Budget	በጀት	Baajeta	በጀት	Miisaaniyad
nav	nav.development	Development	ልማት	Misoomaa	ምዕባለ	Horumarinta
nav	nav.marketing	Marketing	ግብይት	Gabaa	ዕዳጋ	Suuq-geynta
nav	nav.operations	Operations	ተግባራት	Hojiiwwan	ስርሒታት	Hawlgallada
nav	nav.research	Research	ምርምር	Qorannoo	ምርምር	Cilmi baadhis
nav	nav.knowledge	Knowledge	እውቀት	Beekumsa	ፍልጠት	Aqoonta
nav	nav.docs	Docs & Spaces	ሰነዶች	Dokumantoota	ሰነዳት	Dukumentiyo
nav	nav.allSpaces	All Spaces	ሁሉም ቦታዎች	Iddoowwan Hundaa	ኩሎም ቦታታት	Dhammaan meelaha
nav	nav.recentPages	Recent Pages	የቅርብ ገጾች	Fuulota Dhiyoo	ናይ ቀረባ ገጻት	Bogagga dhowaan
nav	nav.settings	Settings	ቅንብሮች	Qindaa'ina	ቅጥዒታት	Dejinta
nav	nav.notifications	Notifications	ማሳወቂያዎች	Beeksisa	ሓበሬታታት	Ogeysiisyada
nav	nav.viewAllProjects	View all projects →	ሁሉንም ፕሮጀክቶች ይመልከቱ →	Pirojektota hundaa ilaali →	ኩሎም ፕሮጀክትታት ርአ →	Dhammaan mashruucyada arag →
nav	nav.backToHomepage	Return to Homepage	ወደ መነሻ ገጽ ተመለስ	Gara Fuula Jalqabaatti Deebi'i	ናብ መበገሲ ገጽ ተመለስ	Ku noqo Bogga Hore
nav	nav.searchPlaceholder	Search or jump to...	ፈልግ ወይም ዝለል ወደ...	Barbaadi ykn utaali gara...	ድለ ወይ ዝለል ናብ...	Raadi ama u bood...
nav	nav.createNew	+ Create	+ ፍጠር	+ Uumi	+ ፍጠር	+ Samee
nav	nav.calendar	Calendar	ቀን መቁጠሪያ	Kaaleendarii	ዓውደ-ኣዋርሕ	Kalandarka
nav	nav.timeline	Timeline	የጊዜ ሰሌዳ	Sarara Yeroo	ናይ ግዜ ሰሌዳ	Jadwalka waqtiga
nav	nav.reports	Reports	ሪፖርቶች	Gabaasaalee	ጸብጻባት	Warbixinno
nav	nav.automation	Automation	አውቶሜሽን	Ofumaan Hojjachuu	ኦቶመይሽን	Otomaatik
nav	nav.wiki	Wiki	ዊኪ	Wiikii	ዊኪ	Wiiki
nav	nav.aiDocuments	AI Documents	AI ሰነዶች	Dokumantoota AI	AI ሰነዳት	Dukumentiyada AI
nav	nav.starred	Starred	የተመረጡ	Urjii	ዝተመልከቱ	La xiddigaysanay
nav	nav.workspaces	Workspaces	የሥራ ቦታዎች	Iddoo Hojii	ናይ ስራሕ ቦታታት	Goobaha shaqada
nav	nav.backlog	Backlog	ባክሎግ	Tarree Eeggataa	ባክሎግ	Shaqada sugaysa
nav	nav.releases	Releases	ልቀቶች	Gadhiisota	ምልቃቓት	Sii daynta
nav	nav.codeReview	Code Review	ኮድ ግምገማ	Gamaaggama Koodii	ናይ ኮድ ግምገማ	Dib u eegista koodhka
nav	nav.socialMedia	Social Media	ማህበራዊ ሚዲያ	Miidiyaa Hawaasaa	ማሕበራዊ ሚድያ	Baraha bulshada
nav	nav.analytics	Analytics	ትንታኔ	Xiinxala	ትንተና	Falanqaynta
nav	nav.campaigns	Campaigns	ዘመቻዎች	Duulaawwan	ዘመተታት	Ololayaal
nav	nav.incidents	Incidents	ክስተቶች	Mudannoowwan	ፍጻመታት	Dhacdooyinka
nav	nav.monitoring	Monitoring	ክትትል	To'annoo	ክትትል	La socodka
nav	nav.checklists	Checklists	ቼክሊስቶች	Tarree Sakatta'iinsaa	ናይ መርኣያ ዝርዝር	Liiska hubinta
nav	nav.data	Data	ዳታ	Daataa	ዳታ	Xogta
nav	nav.findings	Findings	ግኝቶች	Argannoo	ረኽቦታት	Natiijooyinka
nav	nav.plans	Plans	ዕቅዶች	Karoora	ውጥናት	Qorshayaal
nav	nav.materials	Materials	ቁሳቁሶች	Meeshaalee	ኣቑሑት	Agabka
nav	nav.inspections	Inspections	ምርመራዎች	Sakatta'iinsa	ምርመራታት	Kormeernta
nav	nav.members	Members	አባላት	Miseensota	ኣባላት	Xubnaha
nav	nav.integrations	Integrations	ውህደቶች	Walitti Makamtii	ውህደታት	Isku xidhka
nav	nav.createIssue	Create Issue	ጉዳይ ፍጠር	Dhimma Uumi	ጉዳይ ፍጠር	Arrin samee
nav	nav.createProject	Create Project	ፕሮጀክት ፍጠር	Pirojektii Uumi	ፕሮጀክት ፍጠር	Mashruuc samee
nav	nav.uploadDocument	Upload Document	ሰነድ ስቀል	Dokumantii Olkaa'i	ሰነድ ጸዓን	Dukumenti soo rar
nav	nav.light	Light	ብሩህ	Ifaa	ብሩህ	Iftiinka
nav	nav.dark	Dark	ጨለማ	Dukkana	ጸልማት	Mugdiga
nav	nav.system	System	ስርዓት	Sirna	ስርዓት	Nidaamka
nav	nav.help	Help	እርዳታ	Gargaarsa	ሓገዝ	Caawimo
nav	nav.seePlans	See Plans	ዕቅዶች ይመልከቱ	Karoora Ilaali	ውጥናት ርአ	Qorshayaasha arag
nav	nav.issue	Issue	ጉዳይ	Dhimma	ጉዳይ	Arrin
nav	nav.wikiPage	Wiki Page	የዊኪ ገጽ	Fuula Wiikii	ናይ ዊኪ ገጽ	Bogga Wiiki
nav	nav.documents	Documents	ሰነዶች	Dokumantoota	ሰነዳት	Dukumentiyada
nav	nav.procurement	Procurement	ግዢ	Bittaa	ግዝኣት	Iibsashada
nav	nav.compliance	Compliance	ተገዢነት	Hordoffii Seeraa	ምትሕልላው	Waafaqsanaanta
nav	nav.grants	Grants	ድጎማዎች	Deeggarsota	ውህባት	Deeqaha
nav	nav.impact	Impact	ተፅዕኖ	Dhiibbaa	ጽልዋ	Saameynta
nav	nav.courses	Courses	ኮርሶች	Koorsiiwwan	ኮርሳት	Koorsooyin
nav	nav.sites	Sites	ቦታዎች	Iddoowwan	ቦታታት	Goobaha
nav	nav.equipment	Equipment	መሣሪያዎች	Meeshaalee	መሳርሒታት	Qalabka
nav	nav.safety	Safety	ደህንነት	Nageenya	ድሕነት	Badbaadada
nav	nav.facilities	Facilities	ተቋማት	Dhaabbilee	ትካላት	Xarumaha
nav	nav.medical	Medical	ሕክምና	Yaalaa	ሕክምና	Caafimaad
nav	nav.resources	Resources	ሀብቶች	Qabeenya	ጸጋታት	Kheyraadka
dashboard	dashboard.title	Dashboard	ዳሽቦርድ	Daashboordii	ዳሽቦርድ	Dashboork
dashboard	dashboard.welcome	Welcome back	እንኳን ደህና መጡ	Baga nagaan dhuftan	እንኳዕ ደሓን መጻእካ	Ku soo dhawoow
dashboard	dashboard.failedToLoad	Failed to load dashboard data	የዳሽቦርድ ዳታ መጫን አልተሳካም	Daataa daashboordii fe'uu hin dandeenye	ናይ ዳሽቦርድ ዳታ ምጽዓን ኣይከኣለን	Xogta dashboorkka soo dejin la waayay
dashboard	dashboard.tryRefreshing	Try refreshing the page or signing in again.	ገጹን ያድሱ ወይም እንደገና ይግቡ።	Fuula haaromsuun yaalaa ykn irra deebi'uun seenaa.	ገጹ ኣሐድሶ ወይ ዳግማይ እቶ።	Bogga cusboonaysii ama mar kale soo gal.
dashboard	dashboard.completed	Completed	የተጠናቀቁ	Xumuraman	ዝተወድኡ	La dhammeeyey
dashboard	dashboard.updated	Updated	የተዘመኑ	Haaromfaman	ዝተሓደሱ	La cusbooneysiiyey
dashboard	dashboard.created	Created	የተፈጠሩ	Uumaman	ዝተፈጥሩ	La sameeyey
dashboard	dashboard.dueSoon	Due Soon	ጊዜያቸው የቀረበ	Yeroon Dhiyaate	ግዜኡ ዝቐረበ	Dhowaan oo la gaadhayo
dashboard	dashboard.inLast7Days	in the last 7 days	ባለፉት 7 ቀናት	guyyoota 7 darban keessatti	ኣብ ዝሓለፉ 7 መዓልታት	7dii maalmood ee la soo dhaafay
dashboard	dashboard.inNext7Days	in the next 7 days	በሚቀጥሉት 7 ቀናት	guyyoota 7 dhufan keessatti	ኣብ ዝቕጽሉ 7 መዓልታት	7da maalmood ee soo socda
dashboard	dashboard.details	Details →	ዝርዝር →	Bal'inaan →	ዝርዝር →	Faahfaahin →
dashboard	dashboard.statusOverview	Status overview	የሁኔታ አጠቃላይ እይታ	Haala Waliigalaa	ሓፈሻዊ ኩነታ	Guud mar ka eeg xaaladda
dashboard	dashboard.statusDescription	Get a snapshot of the status of your work items. Click anywhere to drill down.	የሥራ ዕቃዎችዎን ሁኔታ ቅጽበታዊ ምስል ያግኙ። ለዝርዝር ጠቅ ያድርጉ።	Haala hojii keessanii ilaaladhaa. Bal'inaan ilaaluuf cuqaasaa.	ናይ ስራሕ ኣቑሑትካ ኩነታ ቅጽበታዊ ስእሊ ርአ። ንዝርዝር ጠውቕ።	Sawir degdeg ah ka hel xaaladda shaqadaada. Meelkasta guji si aad u qoto u dheeraato.
dashboard	dashboard.clickToViewDetails	Click to view details →	ዝርዝር ለማየት ጠቅ ያድርጉ →	Bal'inaan ilaaluuf cuqaasaa →	ዝርዝር ንምርኣይ ጠውቕ →	Guji si aad faahfaahin u aragto →
dashboard	dashboard.totalItems	Total items	ጠቅላላ ዕቃዎች	Wantoota Waliigalaa	ጠቕላላ ኣቑሑት	Wadarta waxyaabaha
dashboard	dashboard.recentActivity	Recent activity	የቅርብ ጊዜ እንቅስቃሴ	Soochii Dhiyoo	ናይ ቀረባ ግዜ ንጥፈታት	Dhaqdhaqaaqyada dhowaan
dashboard	dashboard.recentActivityDescription	Stay up to date with what's happening across your organization.	በድርጅትዎ ውስጥ ስለሚደረጉ ነገሮች ወቅታዊ ይሁኑ።	Waan dhaabbata keessan keessatti ta'aa jiru hordofaa.	ኣብ ትካልካ ዝካየድ ዘሎ ነገር ተኸታተል።	La soco waxa ka dhacaya hay'addaada oo dhan.
dashboard	dashboard.aiPowered	AI-Powered	AI-የተጎለበተ	AI-n Kan Deeggarame	ብAI ዝተሓየለ	AI ku shaqeeya
dashboard	dashboard.noActivityYet	No activity yet	እስካሁን ምንም እንቅስቃሴ የለም	Hanga ammaatti soochiin hin jiru	ክሳብ ሕጂ ንጥፈት የለን	Weli dhaqdhaqaaq ma jiro
dashboard	dashboard.noActivityDescription	Activity will appear here as team members work on tasks, projects, and goals.	የቡድን አባላት በተግባራት፣ በፕሮጀክቶች እና በግቦች ላይ ሲሰሩ እንቅስቃሴ እዚህ ይታያል።	Miseensonni garee hojii, pirojektii fi galma irratti yeroo hojjetan soochiin as mul'ata.	ኣባላት ጋንታ ኣብ ተግባራት፣ ፕሮጀክትታትን ዕላማታትን ክሰርሑ ከለዉ ንጥፈት ኣብዚ ይረአ።	Dhaqdhaqaaq halkan ayuu ka muuqan doonaa marka xubnaha kooxdu ay ku shaqeeyaan hawlaha, mashruucyada iyo hadafyada.
dashboard	dashboard.failedToLoadActivities	Failed to load activities	እንቅስቃሴዎችን መጫን አልተሳካም	Soochii fe'uu hin dandeenye	ንጥፈታት ምጽዓን ኣይከኣለን	Dhaqdhaqaaqyada soo dejin la waayay
dashboard	dashboard.priorityBreakdown	Priority breakdown	የቅድሚያ ክፍፍል	Qooddii Dursa	ናይ ቀዳምነት ክፍፍል	Kala soocidda mudnaanta
dashboard	dashboard.priorityDescription	Get a holistic view of how work is being prioritized.	ሥራ እንዴት ቅድሚያ እንደሚሰጠው አጠቃላይ እይታ ያግኙ።	Hojiin akkamitti dursa akka argatu ilaalcha waliigalaa argadhaa.	ስራሕ ከመይ ቀዳምነት ከም ዝወሃቦ ሓፈሻዊ ትዕዝብቲ ርአ።	Aragtida guud ee sida shaqada mudnaanta loo siinayo hel.
dashboard	dashboard.typesOfWork	Types of work	የሥራ ዓይነቶች	Gosa Hojii	ዓይነታት ስራሕ	Noocyada shaqada
dashboard	dashboard.viewAllItems	View all items	ሁሉንም ዕቃዎች ይመልከቱ	Wantoota hundaa ilaali	ኩሎም ኣቑሑት ርአ	Dhammaan waxyaabaha arag
dashboard	dashboard.sessionLoadingIssue	Session Loading Issue	የክፍለ ጊዜ መጫን ችግር	Rakkoo Seeshiinii Fe'uu	ናይ ሰሽን ምጽዓን ጸገም	Dhibaatada soo raritaanka fadhiga
dashboard	dashboard.sessionLoadingDesc	The session is taking longer than expected to load. This might be a configuration issue.	ክፍለ ጊዜው ከተጠበቀው በላይ ለመጫን ጊዜ እየወሰደ ነው። ይህ የውቅር ችግር ሊሆን ይችላል።	Seeshiiniin fe'amuuf yeroo eegame caalaa fudhachaa jira. Rakkoo qindaa'inaa ta'uu danda'a.	ሰሽን ካብ ዝጽበያዮ ንላዕሊ ግዜ ይወስድ ኣሎ። ናይ ኣወዳድባ ጸገም ክኸውን ይኽእል።	Fadhigu wuxuu qaadanayaa waqti ka badan inta la filayey. Tani waxay noqon kartaa dhibaato habayn.
dashboard	dashboard.goToSignIn	Go to Sign In	ወደ መግቢያ ሂድ	Gara Seensaatti Deemi	ናብ ምእታው ኪድ	U tag soo galitaanka
dashboard	dashboard.pleaseSignIn	Please sign in to view the calendar.	ቀን መቁጠሪያውን ለማየት እባክዎ ይግቡ።	Kaaleendarii ilaaluuf maaloo seenaa.	ዓውደ-ኣዋርሕ ንምርኣይ በጃኻ እቶ።	Fadlan soo gal si aad kalandarka u aragto.
dashboard	dashboard.loadingCalendar	Loading calendar...	ቀን መቁጠሪያ በመጫን ላይ...	Kaaleendarii fe'aa jira...	ዓውደ-ኣዋርሕ ይጸዓን ኣሎ...	Kalandarka waa la soo rarayaa...
dashboard	dashboard.manageMembers	Manage Members & Teams	አባላትን እና ቡድኖችን አስተዳድር	Miseensota fi Gareelee Bulchi	ኣባላትን ጋንታታትን ኣመሓድር	Maamul xubnaha & kooxaha
dashboard	dashboard.yourProjects	Your Projects	የእርስዎ ፕሮጀክቶች	Pirojektota Kee	ፕሮጀክትታትካ	Mashruucyadaada
dashboard	dashboard.loadingIssues	Loading issues...	ጉዳዮችን በመጫን ላይ...	Dhimmoota fe'aa jira...	ጉዳያት ይጸዓኑ ኣለዉ...	Arrimaha waa la soo rarayaa...
dashboard	dashboard.loadingBoard	Loading board...	ቦርድ በመጫን ላይ...	Boordii fe'aa jira...	ሰሌዳ ይጸዓን ኣሎ...	Sambalka waa la soo rarayaa...
dashboard	dashboard.pleaseSignInBoard	Please sign in to view the board.	ቦርዱን ለማየት እባክዎ ይግቡ።	Boordii ilaaluuf maaloo seenaa.	ሰሌዳ ንምርኣይ በጃኻ እቶ።	Fadlan soo gal si aad sambalka u aragto.
dashboard	dashboard.noTasks	No tasks	ተግባር የለም	Hojiin hin jiru	ተግባራት የለን	Hawl ma jirto
dashboard	dashboard.addTask	Add task	ተግባር ጨምር	Hojii dabali	ተግባር ወስኽ	Hawl ku dar
status	status.todo	To Do	የሚሠራ	Kan Hojjetamu	ዝግበር	La qaban doono
status	status.inProgress	In Progress	በሂደት ላይ	Hojii Irra Jira	ኣብ ሂደት	Wuu socdaa
status	status.inReview	In Review	በግምገማ ላይ	Gamaaggama Irra Jira	ኣብ ግምገማ	Dib u eegis
status	status.done	Done	የተጠናቀቀ	Xumurame	ተወዲኡ	La dhammeeyey
status	status.blocked	Blocked	የታገደ	Dhaabbate	ተዓጊቱ	La joojiyey
status	status.backlog	Backlog	ተራ ዝርዝር	Tarree Eeggataa	ናይ ምጽባይ ዝርዝር	Liiska sugitaanka
status	status.cancelled	Cancelled	የተሰረዘ	Haqame	ተሰሪዙ	La burinay
status	status.active	Active	ንቁ	Hojii Irra	ንጡፍ	Firfircoon
status	status.inactive	Inactive	ንቁ ያልሆነ	Hojii Ala	ዘይንጡፍ	Aan firfircoonayn
